title,issue,url,status
X-Men,27,https://comicvine.gamespot.com/a/uploads/scale_medium/9/96747/3157926-image_gallery%20%281%29.jpg,DEAD:URLError
Incredible Hulk,26,https://comicvine.gamespot.com/a/bundles/phoenixsite/images/core/loose/img_broken.png,DEAD:HTTPError
