Publisher Name,Series Name,Full Title,Release Date,In Collection,In Wish List,Marked Read
Marvel Comics,Vision,Vision #1,2015-01-01,1,0,0
Marvel Comics,"Truth: Red, White & Black","Truth: Red, White & Black #1",2003-01-01,1,0,0
Marvel Comics,Star Wars: Lando,Star Wars: Lando #1,2015-01-01,1,0,0
Marvel Comics,New Warriors,New Warriors #1,1990-01-01,1,0,0
Marvel Comics,The Amazing Spider-Man,The Amazing Spider-Man #361,1992-01-01,1,0,0
Marvel Comics,Secret Wars,Secret Wars #1,2015-01-01,1,0,0
Marvel Comics,Doom: Giant-Size One-Shot,Doom: Giant-Size One-Shot #1,2024-01-01,1,0,0
Marvel Comics,Mockingbird,Mockingbird #8,2016-01-01,1,0,0
Marvel Comics,Champions,Champions #1,2016-01-01,1,0,0
Marvel Comics,Black Panther: The Man Without Fear,Black Panther: The Man Without Fear #513,2011-01-01,1,0,0
Marvel Comics,Incredible Hulk,Incredible Hulk #393,1992-01-01,1,0,0
DC Comics,World's Finest,World's Finest #47,1951-01-01,1,0,0
DC Comics,World's Finest,World's Finest #26,1947-01-01,1,0,0
Marvel Comics,Marvel Two-in-One #1 — ⚠️ NOT IN COLLECTION,Marvel Two-in-One #1 — ⚠️ NOT IN COLLECTION #1,1974-01-01,1,0,0
Marvel Comics,Marvel Two-in-One,Marvel Two-in-One #41,1978-01-01,1,0,0
Marvel Comics,Marvel Two-in-One,Marvel Two-in-One #24,1977-01-01,1,0,0
Marvel Comics,Marvel Team-Up,Marvel Team-Up #100,1980-01-01,1,0,0
Marvel Comics,X-Men United,X-Men United #1,2023-01-01,1,0,0
Marvel Comics,Giant-Size X-Men: Apocalypse,Giant-Size X-Men: Apocalypse #1,2023-01-01,1,0,0
Marvel Comics,Ultimate Spider-Man: Incursion,Ultimate Spider-Man: Incursion #5,2024-01-01,1,0,0
Marvel Comics,Wolverine: Fall of X,Wolverine: Fall of X #39,2024-01-01,1,0,0
Marvel Comics,X-Men of Apocalypse,X-Men of Apocalypse #1,2023-01-01,1,0,0
Marvel Comics,Black Widow,Black Widow #1,2020-01-01,1,0,0
Marvel Comics,Black Widow,Black Widow #10,2021-01-01,1,0,0
Marvel Comics,X-Men '97,X-Men '97 #1,2024-01-01,1,0,0
DC Comics,New Suicide Squad,New Suicide Squad #22,2016-01-01,1,0,0
Marvel Comics,The Mighty Avengers,The Mighty Avengers #62,2009-01-01,1,0,0
DC Comics,Superman/Spider-Man,Superman/Spider-Man #1,2024-01-01,1,0,0
DC Comics,Superman/Spider-Man,Superman/Spider-Man #1,2024-01-01,1,0,0
DC Comics,Superman/Spider-Man,Superman/Spider-Man #1,2024-01-01,1,0,0
DC Comics,Superman/Spider-Man,Superman/Spider-Man #1,2024-01-01,1,0,0
DC Comics,Batman/Deadpool,Batman/Deadpool #1,2024-01-01,1,0,0
DC Comics,Batman/Deadpool,Batman/Deadpool #1,2024-01-01,1,0,0
DC Comics,Batman/Deadpool,Batman/Deadpool #1,2024-01-01,1,0,0
DC Comics,Worlds Collide,Worlds Collide Icon #15 — Superboy Meets Girl,1994-01-01,1,0,0
DC Comics,Detective Comics,Detective Comics #1094,2024-01-01,1,0,0
DC Comics,New History of the DC Universe: The Dakota Incident,New History of the DC Universe: The Dakota Incident #1,2024-01-01,1,0,0
DC Comics,Justice League,Justice League #17,2024-01-01,1,0,0
DC Comics,Justice League,Justice League #16,2024-01-01,1,0,0
DC Comics,The Fury of Firestorm,The Fury of Firestorm #1,1982-01-01,1,0,0
DC Comics,Justice League Unlimited,Justice League Unlimited #18,2006-01-01,1,0,0
DC Comics,JSA,JSA #9,2000-01-01,1,0,0
DC Comics,JSA,JSA #8,2000-01-01,1,0,0
DC Comics,JSA,JSA #10,2000-01-01,1,0,0
DC Comics,JSA,JSA #11,2000-01-01,1,0,0
DC Comics,JSA,JSA #12,2000-01-01,1,0,0
DC Comics,JSA,JSA #13,2001-01-01,1,0,0
DC Comics,JSA,JSA #4,2000-01-01,1,0,0
DC Comics,Green Lantern,Green Lantern #32,2024-01-01,1,0,0
DC Comics,New History of the DC Universe: The Dakota Incident,New History of the DC Universe: The Dakota Incident #1,2024-01-01,1,0,0
Marvel Comics,King-Size Special: Avengers,King-Size Special: Avengers #2,1966-01-01,1,0,0
Marvel Comics,The Avengers,The Avengers #60,1969-01-01,1,0,0
Marvel Comics,The Avengers,The Avengers #87,1971-01-01,1,0,0
Marvel Comics,The Avengers,The Avengers #203,1981-01-01,1,0,0
Marvel Comics,The Avengers,The Avengers #227,1982-01-01,1,0,0
Marvel Comics,The Avengers,The Avengers #255,1985-01-01,1,0,0
Marvel Comics,The Amazing Spider-Man,The Amazing Spider-Man #16,,1,0,0
Marvel Comics,The Amazing Spider-Man,The Amazing Spider-Man #21,,1,0,0
Marvel Comics,Jungle Action,Jungle Action #21,1976-01-01,1,0,0
Marvel Comics,Jungle Action,Jungle Action #22,1976-01-01,1,0,0
Marvel Comics,Marvel Premiere,Marvel Premiere #1,1972-01-01,1,0,0
Marvel Comics,Marvel Premiere,Marvel Premiere #51,1979-01-01,1,0,0
Marvel Comics,Marvel Premiere,Marvel Premiere #52,1980-01-01,1,0,0
Marvel Comics,Marvel Premiere,Marvel Premiere #53,1980-01-01,1,0,0
Marvel Comics,Black Panther,Black Panther #26,2001-01-01,1,0,0
Marvel Comics,Black Panther,Black Panther #36,2001-01-01,1,0,0
Marvel Comics,Black Panther,Black Panther #52,2002-01-01,1,0,0
Marvel Comics,X-Men,X-Men #282,1991-01-01,1,0,0
Marvel Comics,Cloak and Dagger,Cloak and Dagger #5,1984-01-01,1,0,0
Marvel Comics,Cloak and Dagger,Cloak and Dagger #1,1983-01-01,1,0,0
Marvel Comics,Cloak and Dagger,Cloak and Dagger #2,1983-01-01,1,0,0
Marvel Comics,Cloak and Dagger,Cloak and Dagger #3,1983-01-01,1,0,0
Marvel Comics,Cloak and Dagger,Cloak and Dagger #4,1983-01-01,1,0,0
Marvel Comics,"Luke Cage, Power Man","Luke Cage, Power Man #17",1974-01-01,1,0,0
