title,issue,year,volume,publisher,box,era
Next Level,1,2026,1,DC,101,Modern
X-Men,37,2026,,Marvel,CC1,Modern
Uncanny X-Men,35,2026,,Marvel,CC1,Modern
Avengers: Armageddon,4,2026,,Marvel,102,Modern
Marc Spector: Moon Knight,8,2026,,Marvel,102,Modern
Batwoman,7,2026,,DC,101,Modern
Absolute Green Arrow,5,2026,1,DC,101,Modern
New Titans,39,2026,2,DC,101,Modern
Dark Knights of Steel,3,2026,2,DC,101,Modern
Batman/Superman: World's Finest,55,2026,,DC,101,Modern
Wonder Woman,37,2026,,DC,101,Modern
Absolute Cassandra Cain,1,2026,1,DC,101,Modern
DNX,1,2026,1,Marvel,CC1,Modern
G.I. Joe,26,2026,,Skybound,103,Modern
Dungeons & Dragons,1,2026,1,Dark Horse,103,Modern
