title,issue,url,px_w,px_h,est_img_tokens
Black Panther,30,https://comicvine.gamespot.com/a/uploads/scale_medium/10/108627/2038978-classicmarvelfigurinecollec1527_f.jpg,0,0,550
Captain America,264,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/19460-2400-21722-1-captain-america.jpg,0,0,550
Captain Carter,1,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/8411771-8921793275-20758.jpg,0,0,550
Agent Carter: S.H.I.E.L.D. 50th Anniversary,1,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/4801978-01.jpg,0,0,550
Ultimate Spider-Man,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9226621-wwww.jpg,0,0,550
Ultimate Wolverine,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9599529-wwww.jpg,0,0,550
Ultimate Wolverine,3,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9670413-wwww.jpg,0,0,550
The Amazing Spider-Man,50,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7630667-50.lr.jpg,0,0,550
Uncanny X-Men,286,https://comicvine.gamespot.com/a/uploads/scale_medium/5/56044/1656379-uncanny_x_men__1963__286.jpeg,0,0,550
X-Factor,24,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/26261-3657-29161-1-x-factor.jpg,0,0,550
X-Men Legends,3,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7941201-03.jpg,0,0,550
New Mutants,96,https://static.wikia.nocookie.net/marveldatabase/images/8/84/New_Mutants_Vol_1_96.jpg,0,0,550
Superman: The Man of Steel,1,https://static.wikia.nocookie.net/marvel_dc/images/4/4e/Superman_Man_of_Steel_Vol_1_1.jpg,0,0,550
Superman: The Man of Steel,18,https://comicvine.gamespot.com/a/uploads/scale_medium/8/84205/4146532-supermantmos18nm96m093.jpg,0,0,550
Superman: The Man of Steel,19,https://comicvine.gamespot.com/a/uploads/scale_medium/8/84205/4146535-supermantmos19nm96m093.jpg,0,0,550
Justice League,21,https://static.wikia.nocookie.net/marvel_dc/images/0/01/Justice_League_Vol_2_21.jpg,0,0,550
Green Arrow,1,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/51076-9113-66918-1-green-arrow.jpg,0,0,550
Vision,1,https://static.wikia.nocookie.net/marveldatabase/images/c/c1/Vision_Vol_2_1.jpg,0,0,550
"Truth: Red, White & Black",1,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4312/138591-18775-110902-1-truth-red-white-an.jpg,0,0,550
Star Wars: Lando,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11112/111121983/6151082-0091471516-porta.jpg,0,0,550
New Warriors,1,https://static.wikia.nocookie.net/marveldatabase/images/6/6c/New_Warriors_Vol_1_1.jpg,0,0,550
Secret Wars,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11112/111121983/4786831-4608757771-image_gallery,0,0,550
Doom,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9360498-wwww.jpg,0,0,550
Mockingbird,8,https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/5490476-08.jpg,0,0,550
Champions,1,https://static.wikia.nocookie.net/marveldatabase/images/7/7d/Champions_Vol_2_1.jpg,0,0,550
Black Panther: The Man Without Fear,513,https://comicvine.gamespot.com/a/uploads/scale_medium/3/38919/1564199-black_panther_the_man_without_fear_513.jpg,0,0,550
Incredible Hulk,393,https://static.wikia.nocookie.net/marveldatabase/images/4/47/Incredible_Hulk_Vol_1_393.jpg,0,0,550
World's Finest,26,https://comicvine.gamespot.com/a/uploads/scale_medium/6/66303/4022991-worlds%20finest.jpg,0,0,550
Daredevil,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/10029521-cover.jpg,0,0,550
Tales of Suspense,98,https://static.wikia.nocookie.net/marveldatabase/images/a/a7/Tales_of_Suspense_Vol_1_98.jpg,0,0,550
Infernal Hulk,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9923000-cover.jpg,0,0,550
Fantastic Four,5,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/60343-10865-93338-1-marvel-age-fantasti.jpg,0,0,550
One World Under Doom,9,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9751571-cover.jpg,0,0,550
Rogue Storm,2,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9913069-cover.jpg,0,0,550
Batman,2,https://static.wikia.nocookie.net/marvel_dc/images/9/95/Batman_Vol_4_2.jpg,0,0,550
Batman,3,https://static.wikia.nocookie.net/marvel_dc/images/6/68/Batman_Vol_4_3.jpg,0,0,550
Batman,4,https://static.wikia.nocookie.net/marvel_dc/images/8/8b/Batman_Vol_4_4.jpg,0,0,550
Batman,5,https://static.wikia.nocookie.net/marvel_dc/images/b/b6/Batman_Vol_4_5.jpg,0,0,550
Batman,9,https://static.wikia.nocookie.net/marvel_dc/images/6/65/Batman_Vol_4_9.jpg,0,0,550
Wonder Woman,29,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/8800465-01.jpg,0,0,550
Superman,30,https://static.wikia.nocookie.net/marvel_dc/images/8/82/Superman_Vol_6_30.jpg,0,0,550
Superman,31,https://static.wikia.nocookie.net/marvel_dc/images/c/cf/Superman_Vol_6_31.jpg,0,0,550
Superman,32,https://static.wikia.nocookie.net/marvel_dc/images/7/75/Superman_Vol_6_32.jpg,0,0,550
Green Lantern,33,https://static.wikia.nocookie.net/marvel_dc/images/b/b8/Green_Lantern_Vol_7_33.jpg,0,0,550
Green Arrow,25,https://static.wikia.nocookie.net/marvel_dc/images/1/18/Green_Arrow_Vol_7_25.jpg,0,0,550
Black Panther,1,https://static.wikia.nocookie.net/marveldatabase/images/3/34/Black_Panther_Vol_9_1.jpg,0,0,550
Legend Has It,1,https://static.wikia.nocookie.net/marveldatabase/images/9/95/Legend_Has_It_Vol_1_1.jpg,0,0,550
DC K.O.: Superman vs. Captain Atom,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9927480-wwww.jpg,0,0,550
Age of Revelation,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9881723-cover.jpg,0,0,550
Ultimate Endgame,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9950395-cover.jpg,0,0,550
Wonder Woman,20,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9186228-www.jpg,0,0,550
Wonder Woman,21,https://static.wikia.nocookie.net/marvel_dc/images/d/d1/Wonder_Woman_Vol_6_21.jpg,0,0,550
Wonder Woman,30,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/8800466-01.jpg,0,0,550
Wonder Woman,31,https://static.wikia.nocookie.net/marvel_dc/images/d/dd/Wonder_Woman_Vol_6_31.jpg,0,0,550
Sorcerer Supreme,3,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9998194-cover.jpg,0,0,550
Storm,1,https://static.wikia.nocookie.net/marveldatabase/images/5/5e/Storm_Vol_1_1.jpg,0,0,550
Storm,4,https://static.wikia.nocookie.net/marveldatabase/images/4/49/Storm_Vol_4_4.jpg,0,0,550
Cloak or Dagger,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9902666-wwww.jpg,0,0,550
Green Lantern,18,https://comicvine.gamespot.com/a/uploads/scale_medium/7/78179/4004640-942599%5B1%5D.jpg,0,0,550
Green Lantern,34,https://static.wikia.nocookie.net/marvel_dc/images/0/09/Green_Lantern_Vol_7_34.jpg,0,0,550
Action Comics,1078,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9552736-wwww.jpg,0,0,550
Cyborg,3,https://comicvine.gamespot.com/a/uploads/scale_medium/11/110017/9102841-wwww.jpg,0,0,550
Captain Marvel: Dark Past,1,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/10029518-cover.jpg,0,0,550
Wolverine,18,https://static.wikia.nocookie.net/marveldatabase/images/b/b8/Wolverine_Vol_8_18.jpg,0,0,550
X-Men,25,https://static.wikia.nocookie.net/marveldatabase/images/8/8b/X-Men_Vol_6_25.jpg,0,0,550
X-Men,28,https://static.wikia.nocookie.net/marveldatabase/images/c/c3/X-Men_Vol_6_28.jpg,0,0,550
Punisher,3,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/9933481-cover.jpg,0,0,550
Marc Spector: Moon Knight,3,https://comicvine.gamespot.com/a/uploads/scale_medium/11161/111615891/10048125-cover.jpg,0,0,550
